Team,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense
Commanders,"$32,853,576","$5,121,964","$28,411,119","$9,657,546","$35,455,377","$111,499,582","$20,137,963","$17,081,969","$9,648,261","$6,572,800","$15,391,044","$68,832,037"
Cowboys,"$21,325,834","$20,945,082","$13,438,525","$13,499,164","$41,380,342","$110,588,947","$8,309,513","$19,438,110","$11,775,184","$9,347,479","$18,798,262","$67,668,548"
Chiefs,"$38,825,381","$6,354,516","$17,174,008","$11,542,063","$32,124,103","$106,020,071","$35,145,929","$21,080,281","$5,261,411","$10,692,255","$5,600,619","$77,780,495"
Titans,"$39,710,700","$11,960,977","$14,123,712","$6,991,640","$29,697,377","$102,484,406","$16,401,876","$27,135,472","$8,756,546","$14,150,405","$11,447,369","$77,891,668"
Jets,"$14,312,222","$4,608,666","$25,719,256","$8,380,587","$46,776,978","$99,797,709","$20,430,097","$33,306,114","$10,709,069","$8,949,308","$16,520,137","$89,914,725"
Lions,"$32,219,500","$9,162,629","$14,045,393","$2,328,750","$41,941,085","$99,697,357","$12,747,744","$28,277,728","$8,275,184","$8,925,370","$18,071,989","$76,298,015"
Cardinals,"$16,348,925","$6,213,758","$24,621,833","$7,121,287","$44,681,251","$98,987,054","$23,503,243","$9,842,220","$15,369,345","$19,606,956","$7,124,107","$75,445,871"
Patriots,"$6,453,362","$5,591,629","$35,197,112","$23,907,622","$26,861,818","$98,011,543","$18,729,027","$22,426,262","$8,224,132","$17,181,924","$19,990,358","$86,551,703"
Chargers,"$10,283,406","$9,875,576","$37,838,148","$6,820,248","$31,772,859","$96,590,237","$13,777,389","$41,335,618","$9,663,825","$13,289,700","$21,839,498","$99,906,030"
Vikings,"$32,714,868","$15,003,672","$20,983,931","$4,284,548","$23,308,381","$96,295,400","$15,474,289","$19,943,129","$19,514,329","$12,077,857","$10,659,606","$77,669,210"
Packers,"$32,117,878","$7,807,590","$12,102,936","$9,967,867","$31,221,736","$93,218,007","$22,816,924","$18,660,198","$9,700,624","$15,340,635","$15,826,881","$82,345,262"
Buccaneers,"$15,762,231","$7,606,106","$25,649,717","$6,774,488","$36,945,947","$92,738,489","$16,245,569","$13,044,679","$26,999,723","$6,991,080","$16,467,478","$79,748,529"
Broncos,"$18,082,500","$6,405,499","$19,436,070","$5,262,023","$43,074,703","$92,260,795","$13,772,100","$10,635,344","$6,989,055","$23,249,297","$22,834,821","$77,480,617"
Ravens,"$24,100,655","$8,179,654","$7,616,822","$12,307,075","$38,678,276","$90,882,482","$11,195,023","$14,877,531","$7,852,081","$12,066,802","$32,103,215","$78,094,652"
Jaguars,"$11,319,156","$5,232,412","$29,108,793","$16,652,093","$28,354,461","$90,666,915","$18,616,330","$29,701,227","$11,848,942","$14,816,692","$28,605,261","$103,588,452"
Dolphins,"$15,532,211","$6,283,012","$22,148,490","$19,623,554","$25,147,971","$88,735,238","$22,072,401","$16,107,979","$15,828,692","$10,737,529","$29,180,509","$93,927,110"
Bengals,"$11,332,371","$15,533,810","$22,298,088","$7,324,969","$30,652,020","$87,141,258","$25,457,899","$24,666,921","$7,997,820","$26,928,297","$20,293,823","$105,344,760"
Colts,"$22,163,558","$3,818,974","$9,081,436","$9,255,943","$42,356,344","$86,676,255","$29,095,351","$22,019,573","$20,698,461","$5,299,201","$21,899,515","$99,012,101"
Browns,"$14,942,928","$14,503,104","$11,614,046","$6,171,535","$37,805,257","$85,036,870","$9,433,318","$19,071,235","$9,826,334","$11,808,926","$12,414,924","$62,554,737"
Giants,"$11,387,502","$9,341,218","$33,814,024","$964,500","$29,496,146","$85,003,390","$22,368,816","$11,294,138","$3,987,964","$7,641,916","$15,143,232","$60,436,066"
Saints,"$7,103,500","$9,824,543","$25,618,265","$7,923,351","$31,639,451","$82,109,110","$11,178,334","$22,420,038","$11,770,496","$11,076,225","$15,450,274","$71,895,367"
Raiders,"$20,418,333","$9,227,435","$19,243,265","$15,179,098","$17,819,365","$81,887,496","$8,277,623","$27,221,208","$7,958,161","$4,938,654","$10,529,295","$58,924,941"
49ers,"$22,715,235","$3,134,553","$15,039,393","$10,376,509","$29,524,154","$80,789,844","$18,535,038","$25,268,938","$16,541,317","$17,549,904","$14,537,091","$92,432,288"
Bills,"$20,230,481","$7,299,886","$18,982,654","$4,501,683","$29,350,967","$80,365,671","$16,458,562","$12,078,022","$24,091,768","$18,151,730","$26,310,989","$97,091,071"
Panthers,"$20,461,726","$3,829,960","$12,882,679","$5,253,310","$33,291,588","$75,719,263","$11,405,978","$9,462,303","$23,312,667","$6,802,770","$16,752,502","$67,736,220"
Rams,"$16,649,944","$2,816,993","$28,497,273","$5,474,116","$20,272,409","$73,710,735","$42,719,120","$9,516,649","$5,686,025","$6,950,860","$30,915,195","$95,787,849"
Seahawks,"$5,309,222","$9,510,195","$23,912,230","$7,941,161","$23,568,919","$70,241,727","$24,351,722","$16,138,952","$10,206,077","$18,131,252","$7,838,060","$76,666,063"
Eagles,"$5,008,230","$5,245,906","$13,659,798","$6,148,811","$37,545,173","$67,607,918","$30,816,368","$21,673,435","$6,090,121","$5,344,794","$17,532,680","$81,457,398"
Texans,"$3,856,318","$5,480,218","$16,068,691","$3,710,583","$37,408,894","$66,524,704","$7,425,859","$15,929,240","$12,683,243","$9,515,023","$16,819,387","$62,372,752"
Falcons,"$6,303,695","$4,894,510","$9,535,858","$10,678,128","$32,848,444","$64,260,635","$18,104,464","$6,077,102","$4,917,321","$4,468,126","$14,033,033","$47,600,046"
Bears,"$6,917,413","$4,900,984","$11,115,639","$5,756,091","$27,473,483","$56,163,610","$11,799,311","$5,649,095","$6,862,834","$20,336,001","$5,518,865","$50,166,106"
Steelers,"$10,257,801","$5,678,067","$15,219,777","$3,360,462","$18,038,971","$52,555,078","$35,843,671","$27,954,767","$16,767,187","$13,290,212","$16,048,278","$109,904,115"
